BRAND,CODE,,,,,,
EDEN,D001,,,,,,
VIRAJMAN/g.CUBE,D002,,,,,,
ASTRONIA,D003,,,,,,
STONE,D004,,,,,,
SANJOG,D005,,,,,,
LAROMANI,D006,,,,,,
LAMIRADO,D007,,,,,,
MENZONE,D008,,,,,,
NO CO.,D009,,,,,,
PARIBITO,D010,,,,,,
BLUEJAY,D011,,,,,,
SAI INDIA,D012,,,,,,
MANAS,D013,,,,,,
MORISON,D014,,,,,,`
VARDHMAN,D015,,,,,,
NUMERIC/GRANITE,D016,,,,,,
OUTFIT,D017,,,,,,
SUNFORD,D018,,,,,,
AARVO,D019,,,,,,
LOOT,D020,,,,,,
WYNN ,D021,,,,,,
WINDIJO,D022,,,,,,
W3,D023,,,,,,
ABSOLUTEMAN,D024,,,,,,
LOOKPLUS,D025,,,,,,
Four Cross,D026,,,,,,
Spyky,D027,,,,,,
KABANA,D028,,,,,,
ASR GROOM,D029,,,,,,
RAM TRADER,D030,,,,,,
CHANCELLOR,D031,,,,,,
CALIVER,D032,,,,,,
NEW WAIST COAT,D033,,,,,,
ASHISH SEELCTION,D034,,,,,,
R S GROOMS,D035,,,,,,
DARWIN,A001,,,,,,
NEOA PLUS,A002,,,,,,
SHHAB JI,B001,,,,,,
MERAKI,I001,,,,,,
HURU,I004,,,,,,
MANYAVAR,K001,,,,,,
COPPER STONE,K002,,,,,,
ENDICOTT,K003,,,,,,
OCTAVE,K004,,,,,,
GOT IT,K005,,,,,,
HYFUN,K006,,,,,,
YANKESS ,K007,,,,,,
M.J.,U001,,,,,,
FJI,L001,,,,,,
FROD,L002,,,,,,
GESTURE,L003,,,,,,
KILLER,L004,,,,,,
LAWMAN,L005,,,,,,
MUFTI,L006,,,,,,
COOKYSS,L007,,,,,,
CURVE,L008,,,,,,
FREEZE T SHIRT,L009,,,,,,
DXI,LD002,,,,,,
DUKE,LD003,,,,,,
EXCEED,LD004,,,,,,
DOVAL,LD005,,,,,,
BLUE MAN,LD006,,,,,,
HUES,LD007,,,,,,
LURE URBAN,LD008,,,,,,
METAL,LD009,,,,,,
DURANNGO,LD010,,,,,,
CLASSIC,LD011,,,,,,
YANG CLUB,LD012,,,,,,
LIFE STYLE MARKETING,G001,,,,,,
PIONEER,G002,,,,,,
APPLE,S001,,,,,,
ALMO,N001,,,,,,
SWATANTRA,M001,,,,,,
UVAAM,M002,,,,,,
MFS,M003,,,,,,
TATHASTHU,M004,,,,,,
PANTH,M005,,,,,,
NAMO,M006,,,,,,
SAVIRYA,M007,,,,,,
ACROSS,M008,,,,,,
GLOBAL,M009,,,,,,
ROSCH,M010,,,,,,
ROYAL AAZURE,M011,,,,,,
GAZAL,M012,,,,,,
COUSAG,M013,,,,,,
MATCHLESS,M014,,,,,,
PROGON,M015,,,,,,
RETARIO,M016,,,,,,
BHARAT,M017,,,,,,
MODFIT,M018,,,,,,
RECHANNEL,M019,,,,,,
AARAMBAH,M020,,,,,,
AAIRSH,M021,,,,,,
BATTI,M022,,,,,,
BENNIVES,M023,,,,,,
KAMAAJ,M024,,,,,,
REVAL,M025,,,,,,
VARSHA ,M026,,,,,,
ETCHH,M027,,,,,,
GRAMMER,M028,,,,,,
PRATHA,M029,,,,,,
VENNADI,M030,,,,,,
FUNKY,M031,,,,,,
ZILLIAN,M032,,,,,,
ZYLUS,M033,,,,,,
GOC,M034,,,,,,
MEHMAN,M035,,,,,,
S.F.W,M036,,,,,,
LINTAAZ,M037,,,,,,
SPYRAL,M038,,,,,,
I BONY,M039,,,,,,
I RONY,M040,,,,,,
K SQUARE,M041,,,,,,
KIOSK,M042,,,,,,
NOSTRUM,M043,,,,,,
PUFF,M044,,,,,,
CROSS COLOUR,M045,,,,,,
SLAZER,M046,,,,,,
NM,M047,,,,,,
S.D.W,M048,,,,,,
ROYAL NAVY,M049,,,,,,
KOZZAK,M050,,,,,,
BASE 6,M051,,,,,,
NIDHI,M052,,,,,,
HIGH TOUCH,M053,,,,,,
TOUCH,M054,,,,,,
H 94,M055,,,,,,
H.S.FASHION,M056,,,,,,
THE PARIBITO,M057,,,,,,
STITCH APP,M058,,,,,,
MONZARA,M059,,,,,,
ABEE,M060,,,,,,
LEBAX,M061,,,,,,
RE-CH,M062,,,,,,
FERROMEN,M063,,,,,,
BLUE OLIVE,M064,,,,,,
D ENTERPRISES,S 101,,,,,,
TARMAC,M067,,,,,,
ZOITT,M066,,,,,,
SIYARAM SILK,M068,,,,,,
VEERA,M065,,,,,,
K D CREATION,M069,,,,,,
ADHVIN,M070,,,,,,
MALA,M072,,,,,,
TIE,M073,,,,,,
MAGLAM SAFA SET,M071,,,,,,
SENSO,M077,,,,,,
MAHIR,M078,,,,,,
SHLOKA,M084,,,,,,
STRIDE T SHIRT,M081,,,,,,
R.K. FASHION,M074,,,,,,
AAMRA,M083,,,,,,
SATTVA,M080,,,,,,
FEONON,M085,,,,,,
NEW  MALA,M086,,,,,,
ARIHANT TOUCH MALA,M087,,,,,,
SHAM WHITE KURTA,M088,,,,,,
SETH KP BOX,M089,,,,,,
