DEPARTMENT,CATEGORY,SUBCATEGORY,HSNCode
2P SUIT,FORMAL,BASIC,610310
2P SUIT,DESIGNER,TUXIDO,610310
2P SUIT,LINEN,BASIC,610310
5P SUIT,FORMAL,BASIC,610310
5P SUIT,DESIGNER,EMB,610310
5P SUIT,DESIGNER,PLAIN TUXIDO,610310
5P SUIT,DESIGNER,FASHION,610310
JODHPURI,FORMAL,BASIC,610310
JODHPURI,DESIGNER,SHRUG,610310
JODHPURI,DESIGNER,COTI-LR,610310
JODHPURI,DESIGNER,FASHION,610310
JODHPURI,LINEN,BASIC,610310
DARK INDO,DESIGNER,SHRUG,621111
DARK INDO,DESIGNER,COTI-LR,621111
DARK INDO,DESIGNER,FASHION,621111
DARK INDO,DESIGNER,SHORT SHRUG,621111
DARK INDO,PLAIN,BASIC,621111
SHERWANI,SHERWANI,BASIC,621111
SHERWANI,SHERWANI,SHRUG,621111
KURTA PAJAMA,BASIC,COTTON PRINT,621111
KURTA PAJAMA,BASIC,COTTON PLAIN,621111
KURTA PAJAMA,BASIC,PINTEK,621111
KURTA PAJAMA,DESIGNER,SHIFLI,621111
KURTA PAJAMA,DESIGNER,PRINT,621111
KURTA PAJAMA,DESIGNER,SHAWL,621111
KURTA PAJAMA,DESIGNER,FASHION,621111
PATHANI,PATHANI,COTTON,621111
PATHANI,PATHANI,LINEN,621111
PATHANI,PATHANI,SHIFLI,621111
PATHANI,PATHANI,FASHION,621111
KURTA COTI,DESIGNER,LINEN,621111
KURTA COTI,DESIGNER,FASHION,621111
SEMI INDO,SEMI INDO,SEMI INDO,621111
KURTA SHRUG,KURTA SHRUG,KURTA SHRUG,621111
COTI,BASIC,TWEED,610310
COTI,BASIC,LINEN,610310
COTI,BASIC,PLAIN,610310
COTI,BASIC,ASSORTED,610310
COTI,DESIGNER,FASHION,610310
COTI,DESIGNER,VELVET,610310
KIDS,5P SUIT,5P SUIT,610310
KIDS,DARK INDO,INDO,621111
KIDS,DARK INDO,SHRUG INDO,621111
KIDS,JODHPURI,JODHPURI,610310
KIDS,KURTA PAJAMA,KURTA PAJAMA,621111
KIDS,KURTA COTI,KURTA COTI,621111
KIDS,KURTA COTI,KURTA SHRUG,621111
KIDS,SHERWANI,SHERWANI,621111
KIDS,WAIST COAT SUIT,WAIST COAT SUIT,610310
WAIST COAT SUIT,R NECK,LINEN,610310
WAIST COAT SUIT,R NECK,BASIC,610310
WAIST COAT SUIT,R NECK,FASHION,610310
WAIST COAT SUIT,V NECK,V NECK,610910
WOOLEN,JACKET,FULL SLEEVES,610310
WOOLEN,JACKET,HALF SLEEVES,610310
WOOLEN,JACKET,V NECK,610910
WOOLEN,SWEATER,HUDY,620520
WOOLEN,SWEATER,T NECK,620520
WOOLEN,SWEATER,R & V NECK,620520
TROUSER,SIDE CREASE,STRETCHABLE,620310
TROUSER,SIDE CREASE,NON STRETCHABLE,620310
TROUSER,FRONT CREASE,STRETCHABLE,620310
TROUSER,FRONT CREASE,NON STRETCHABLE,620310
BLAZER,V NECK,TWEED,6310310
BLAZER,V NECK,LINEN,6310310
BLAZER,V NECK,PLAIN,6310310
BLAZER,V NECK,FASHION,6310310
BLAZER,V NECK,MUFFLER,6310310
BLAZER,R NECK,TRENCH,6310310
BLAZER,R NECK,FASHION,6310310
T SHIRT,HALF SLEEVES,COLLAR,610910
T SHIRT,HALF SLEEVES,NON COLLAR,610910
SHIRT,FULL SLEEVES,PLAIN,620520
SHIRT,FULL SLEEVES,FORMAL,620520
SHIRT,FULL SLEEVES,FASHION,620520
SHIRT,FULL SLEEVES,CUFFLING,620520
SHIRT,FULL SLEEVES,PINTEK,620520
SHIRT,FULL SLEEVES,CHINESE,620520
SHIRT,FULL SLEEVES,LINEN,620520
SHIRT,HALF SLEEVES,PLAIN,620520
SHIRT,HALF SLEEVES,LINEN,620520
SHIRT,HALF SLEEVES,FASHION,620520
JEANS,JEANS,JEANS,620310
ACCESSORIES,SAFA STALL SET,SAFA STALL SET,611710
ACCESSORIES,MALA,MALA,711790
ACCESSORIES,STALL,STALL,611710
ACCESSORIES,PAJAMI,PAJAMI,621111
ACCESSORIES,KALANGI,KALANGI,621111
ACCESSORIES,HERAM,HERAM,621111
ACCESSORIES,ANARKALI KURTA,ANARKALI KURTA,621111
SHORT KURTA,SHORT KURTA,SHORT KURTA,621111
